Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Ingrian|a member of western Finnish people formerly living in the Baltic province where Saint Petersburg was built
Karelian|a member of the Finnish people living in Karelia in northwestern European Russia
Ostyak|a member of the nomadic Ugrian people living in northwestern Siberia (east of the Urals)
Livonian|a member of the Livonian-speaking people of Latvia
Latvian|a native or inhabitant of Latvia
Lithuanian|a native or inhabitant of Lithuania
Mordva|a member of the agricultural people living in the central Volga provinces of European Russia
Nganasan|a member of the Samoyedic people living on the Taimyr Peninsula in Siberia
Selkup|one of the people of mixed Ostyak and Samoyed origin in Siberia
Samoyed|a Samoyedic-speaking person in northwestern Siberia
Veps|a member of a Finnish people of Russia
Vogul|a member of a nomadic people of the northern Urals
Yeniseian|a member of one of the groups living in the Yenisei river valley in western Siberia
Frenchman|a person of French nationality
Parisian|a native or resident of Paris
Parisienne|a female native or resident of Paris
Breton|a native or inhabitant of Brittany (especially one who speaks the Breton language)
Savoyard|a resident of Savoy
Angevin|a resident of Anjou
Balkan|an inhabitant of the Balkan Peninsula
Castillian|a native or inhabitant of Castile
Creole|a person descended from French ancestors in southern United States (especially Louisiana)
Creole|a person of European descent born in the West Indies or Latin America
Cretan|a native or inhabitant of Crete
Minoan|a Cretan who lived in the bronze-age culture of Crete about 3000-1100 BC
Gabonese|a native or inhabitant of Gabon
Greek|a native or inhabitant of Greece
Achaean|a member of one of four linguistic divisions of the prehistoric Greeks
Aeolian|a member of one of four linguistic divisions of the prehistoric Greeks
Dorian|a member of one of four linguistic divisions of the prehistoric Greeks
Ionian|a member of one of four linguistic divisions of the prehistoric Greeks
Athenian|a resident of Athens
Corinthian|a resident of Corinth
Laconian|a resident of Laconia
Lesbian|a resident of Lesbos
Spartan|a resident of Sparta
Arcadian|an inhabitant of Arcadia
Theban|a Greek inhabitant of ancient Thebes
Theban|an Egyptian inhabitant of ancient Thebes
Thracian|an inhabitant of ancient Thrace
Guatemalan|a native or inhabitant of Guatemala
Guyanese|a native or inhabitant of Guyana
Haitian|a native or inhabitant of Haiti
Honduran|a native or inhabitant of Honduras
Malay|a member of a people inhabiting the northern Malay Peninsula and Malaysia and parts of the western Malay Archipelago
Moro|a member of the predominantly Muslim people in the southern Philippines
Netherlander|a native or inhabitant of Holland
Norman|an inhabitant of Normandy
Palestinian|a descendant of the Arabs who inhabited Palestine
Hindu|a native or inhabitant of Hindustan or India
Hmong|a people living traditionally in mountain villages in southern China and adjacent areas of Vietnam and Laos and Thailand; many have emigrated to the United States
Hungarian|a native or inhabitant of Hungary
Icelander|a native or inhabitant of Iceland
Indonesian|a native or inhabitant of Indonesia
Irani|a native or inhabitant of Iran; "the majority of Irani are Persian Shiite Muslims"
Iraqi|a native or inhabitant of Iraq; "the majority of Iraqi are Arab Shiite Muslims although Sunni Muslims control the government"
Irish person|a native or inhabitant of Ireland
Irish person|a man who is a native or inhabitant of Ireland
Irish person|a woman who is a native or inhabitant of Ireland
Irish person|a resident of Dublin
Paddy|(ethnic slur) offensive term for a person of Irish descent
Israelite|a native or inhabitant of the ancient kingdom of Israel
Israeli|a native or inhabitant of Israel
Italian|a native or inhabitant of Italy
Etruscan|a native or inhabitant of ancient Etruria; the Etruscans influenced the Romans (who had suppressed them by about 200 BC)
Neopolitan|a resident of Naples
Roman|a resident of modern Rome
Roman|an inhabitant of the ancient Roman Empire
Sabine|a member of an ancient Oscan-speaking people of the central Apennines north of Rome who were conquered and assimilated into the Roman state in 290 BC
Venetian|a resident of Venice
Sicilian|a resident of Sicily
Tuscan|a resident of Tuscany
Oscan|an Oscan-speaking member of an ancient people of Campania
Samnite|an Oscan-speaking member of an ancient people of Campania who clashed repeatedly with the early Romans
Jamaican|a native or inhabitant of Jamaica
Japanese|a native or inhabitant of Japan
Ryukyuan|a member of the Japanese people living on the Ryukyu Islands southwest of Japan
Jap|(offensive slang) offensive term for a person of Japanese descent
Jordanian|a native or inhabitant of Jordan
Korean|a native or inhabitant of Korea who speaks the Korean language
Kenyan|a native or inhabitant of Kenya
Kurd|a member of a largely pastoral Islamic people who live in Kurdistan; the largest ethnic group without their own state
Kuwaiti|a native or inhabitant of Kuwait
Lao|a member of a Buddhist people inhabiting the area of the Mekong River in Laos and Thailand and speaking the Lao language; related to the Thais
Lapp|a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer
Latin American|a native of Latin America
Lebanese|a native or inhabitant of Lebanon
Levantine|(formerly) a native or inhabitant of the Levant
Liberian|a native or inhabitant of Liberia
Libyan|a native or inhabitant of Libya
Liechtensteiner|a native or inhabitant of Liechtenstein
Luxemburger|a native or inhabitant of Luxembourg
Macedonian|a native or inhabitant of Macedon
Madagascan|a native or inhabitant of Madagascar
Malawian|a native or inhabitant of Malawi
Malaysian|a native or inhabitant of Malaysia
Sabahan|a Malaysian from Sabah
Maldivian|a native or inhabitant of Maldives
Malian|a native or inhabitant of Mali
Mauritanian|a native or inhabitant of Mauritania
Mauritian|a native or inhabitant of Mauritius
Central American|a native or inhabitant of Mexico
Chicano|a person of Mexican descent
Mexican-American|a Mexican (or person of Mexican descent) living in the United States
Montserratian|a native or inhabitant of Montserrat
Moor|one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
Moroccan|a native or inhabitant of Morocco
Mozambican|a native or inhabitant of Mozambique
Namibian|a native or inhabitant of Namibia
Nauruan|a native or inhabitant of Nauru
Nepalese|a native or inhabitant of Nepal
Gurkha|a member of Hindu people descended from brahmins and Rajputs who live in Nepal
Gurkha|a member of the Nepalese force that has been part of the British army for 200 years; known for fierceness in combat
New Zealander|a native or inhabitant of New Zealand
Central American|a native or inhabitant of Nicaragua
Nigerian|a native or inhabitant of Nigeria
Hausa|a member of a Negroid people living chiefly in northern Nigeria
Nigerien|a native or inhabitant of Niger
North American|a native or inhabitant of North America
Norwegian|a native or inhabitant of Norway
Nova Scotian|a native or inhabitant of Nova Scotia
Omani|a native or inhabitant of Oman
Pakistani|a native or inhabitant of Pakistan
Brahui|a member of a Dravidian people living in Pakistan
Sindhi|a native or inhabitant of Sind
Panamanian|a native or inhabitant of Panama
Paraguayan|a native or inhabitant of Paraguay
Parthian|a native or inhabitant of Parthia
Peruvian|a native or inhabitant of Peru
South American Indian|a member of a native Indian group in South America
Carib Indian|a member of an American Indian peoples of northeastern South America and the Lesser Antilles
Quechua|a member of a South American Indian people in Peru who were formerly the ruling class of the Inca empire
Inca|a member of the Quechuan people living in the Cuzco valley in Peru
